dateTime,Lon,Lat,Altitude,Speed,Vspeed,Course,监测站点,峰值时间,持续时间,Leq,SEL,Lmax,flight_number,Aircraft_model,SiteLon,SiteLat,SiteAltitude,AirTemperature,BarometricPressure,RelativeHumidity,WindSpeed,Distance,timestamp
2025-03-05 13:11:54,125.758881,45.5552797,5414.4,603.978402,6.2,187.2372,八里堡,13:12:15,41,72.92,83.71,81.9,HU7074,A332,126.289,45.651,0,3.0,1003.3,40.4,2.9,43063.43918097649,1741180314
2025-03-05 13:12:01,125.9695067,45.6306122,3134.4,491.580842,6.2,139.970852,苇塘沟屯,13:12:21,45,74.95,86.09,83.2,HU7074,A332,126.279,45.661,0,3.0,1003.3,40.4,2.8,24568.83682851825,1741180321
2025-03-05 13:19:56,125.8664619,45.5588334,3351.4,536.432928,10.4,151.577317,立功村,13:20:10,37,67.45,79.21,73.1,MU6348,A332,126.274,45.63,0,3.6,1003.3,39.5,2.9,32947.48492305496,1741180796
2025-03-05 13:20:56,125.9097259,45.5147161,2900.9,456.315523,7.1,184.019632,八里堡,13:21:08,31,67.38,77.38,75.2,MU6348,A332,126.289,45.651,0,3.5,1003.3,39.5,2.0,33384.0278985843,1741180856
2025-03-05 13:32:06,126.0704122,45.4934792,741.4,304.265121,6.4,51.100156,立功村,13:32:22,38,68.14,78.93,75.1,CZ3616,B773,126.274,45.63,0,3.6,1003.2,43.1,0.7,21988.01653720421,1741181526
2025-03-05 13:32:10,126.0480895,45.4598344,1907.2,372.029087,6.5,67.989211,半岛世家,13:32:22,43,69.2,76.19,77.7,CZ3616,B773,126.279,45.631,0,3.6,1003.2,43.1,0.6,26285.61133473755,1741181530
2025-03-05 13:32:38,126.113906,45.5062652,1414.3,337.245725,5.7,48.810261,苇塘沟屯,13:32:59,40,70.5,82.26,78.3,CZ3616,B773,126.279,45.661,0,3.6,1003.3,43.2,0.9,21537.61208393002,1741181558
2025-03-05 13:53:35,125.8693412,45.583512,3670.5,583.197521,9.5,190.717364,八里堡,13:53:49,33,68.56,71.57,80.2,EU2819,ARJ21,126.289,45.651,0,3.2,1003.4,44.5,1.6,33789.54968827284,1741182815
2025-03-05 14:56:25,125.814358,45.370649,1143.0,471.303981,2.0,64.139783,立功村,14:56:48,35,66.18,77.64,74.6,CA1604,B738,126.274,45.63,0,2.9,1003.5,43.4,1.5,46077.08512993663,1741186585
2025-03-05 15:12:41,125.63167,45.379761,6225.0,768.301034,8.0,164.623752,八里堡,15:12:53,34,72.06,72.06,97.7,CZ8635,A330,126.289,45.651,0,2.9,1003.4,43.9,2.2,59907.83934980901,1741187561
2025-03-05 16:05:50,126.1665328,45.5467078,578.2,289.14,5.8,40.804063,苇塘沟屯,16:06:10,34,69.06,81.36,75.7,CZ3914,B788,126.279,45.661,0,1.9,1003.9,48.8,2.1,15449.977122120634,1741190750
2025-03-05 16:17:12,126.1348443,45.7083562,2153.0,415.901088,11.0,228.189563,立功村,16:17:26,31,64.3,75.44,71.5,EU2797,ARJ21,126.274,45.63,0,1.4,1004.0,49.8,1.9,14075.76533151758,1741191432
2025-03-05 16:30:36,125.6777655,45.7429735,5737.5,611.28626,11.0,258.996457,八里堡,16:30:49,31,69.42,81.72,75.0,SC4750,B738,126.289,45.651,0,1.0,1004.2,51.5,1.6,49049.52912684446,1741192236
2025-03-05 16:53:41,126.1573692,45.5403137,460.8,308.378472,6.0,48.309063,立功村,16:53:53,34,66.87,79.17,73.3,HU7210,B789,126.274,45.63,0,-0.1,1004.4,55.6,1.1,13506.708392386983,1741193621
2025-03-05 16:54:15,126.1182973,45.5427493,744.1,317.905843,7.0,35.895994,八里堡,16:54:23,31,69.46,82.89,74.3,HU7210,B789,126.289,45.651,0,-0.1,1004.4,55.8,0.7,17964.88815054912,1741193655
2025-03-05 16:54:16,126.1710623,45.5787137,671.1,309.865032,8.0,27.41608,苇塘沟屯,16:54:33,38,71.69,83.73,78.9,HU7210,B789,126.279,45.661,0,-0.1,1004.4,55.8,0.7,12448.9511614185,1741193656
2025-03-05 16:54:28,126.0993707,45.532461,814.7,321.724148,7.8,207.140514,太安村委会,16:54:42,31,62.59,65.6,73.1,HU7210,B789,126.273,45.69,0,-0.1,1004.4,55.8,0.7,22152.67379865288,1741193668
2025-03-05 17:24:03,125.990959,45.6245394,2883.6,422.201086,3.9,221.826769,八里堡,17:24:17,31,65.39,72.38,75.1,CZ6141,A333,126.289,45.651,0,-1.0,1004.4,59.6,1.4,23604.846546625296,1741195443
2025-03-05 17:32:35,126.0663736,45.5628984,2319.0,426.735025,6.5,131.833939,八里堡,17:32:54,40,72.08,84.86,78.2,HU7326,A333,126.289,45.651,0,-1.4,1004.5,60.9,0.9,20075.324499179584,1741195955
2025-03-05 17:41:22,125.985703,45.6825115,2779.6,454.236582,7.9,223.318768,徐家窝棚,17:41:36,31,60.94,70.48,73.2,AQ1162,B737MAX8,126.259,45.656,161,-1.7,1004.6,61.9,0.7,21662.932335226196,1741196482
2025-03-05 17:53:54,126.219474,45.6253879,937.0,275.254557,4.3,232.301708,徐家窝棚,17:54:08,32,56.22,68.26,85.0,SC4845,B738,126.259,45.656,161,-2.1,1004.7,63.4,0.7,4655.958052768184,1741197234
2025-03-05 18:16:55,126.0718404,45.6313189,1833.5,417.164367,7.6,216.423188,徐家窝棚,18:17:23,37,74.43,74.43,86.2,CZ3634,A333,126.259,45.656,161,-2.7,1005.0,65.5,0.6,14942.61846502025,1741198615
